FUNCTION00,STREET_N01,Segment_Di,Lanes,Median,Park,Shoulder,Bikelane,PedCrossin,Length,Index,Dir_drive,ADTJan2009-Dec2009,ADTJan2010-Dec2010,ADTJan2011-Dec2011,ADTJan2012-Dec2012,ADTJan2013-Dec2013,ADTJan2014-Dec2014,ADTJan2015-Dec2015,ADTJan2016-Dec2016,ADTJan2017-Dec2017,ADTJan2018-Dec2018,CollisionsJan2009-Dec2009,CollisionsJan2010-Dec2010,CollisionsJan2011-Dec2011,CollisionsJan2012-Dec2012,CollisionsJan2013-Dec2013,CollisionsJan2014-Dec2014,CollisionsJan2015-Dec2015,CollisionsJan2016-Dec2016,CollisionsJan2017-Dec2017,CollisionsJan2018-Dec2018,LnAvgADT,LnLength,SumCollisions,Offset,Offset2,Distance_to_school,Distance_to_senior,Number of DFS,Site_ID,Location_D,Direction,Speed_Limi,Ward,Neighbourh,Neighbou_1,Latitude,Longitude,Interventi,Enforcemen,Site_ID.1,Location_D.1,Direction.1,Speed_Limi.1,Ward.1,Neighbourh.1,Neighbou_1.1,Latitude.1,Longitude.1,Interventi.1,Enforcemen.1,Site_ID.2,Location_D.2,Direction.2,Speed_Limi.2,Ward.2,Neighbourh.2,Neighbou_1.2,Latitude.2,Longitude.2,Interventi.2,Enforcemen.2,avgADT,speed_osm,lanes_osm
Arterial-Class A (Primary Highway Truck Route),17 ST NE,D,2,1,0,1,0,0,3410.89,Mid0,NBD,1854,2106,2358,2626,2894,3162,4122.5,3800,3881.229311,3937.103376,1,0,0,0,1,2,0,1,0,1,8.030762012,8.134728533,6,2.302585093,10.43731363,3633.007085,10042.73526,0,,,,,,,,53.70067546,-113.3200847,,,,,,,,,,,,,,,,,,,,,,,,,3074.083269,100,2
Arterial-Class A (Primary Highway Truck Route),17 ST NE,D,2,1,0,1,0,0,3410.89,Mid0,SBD,2280,2392,2504,2892,3280,3668,4308.5,4079,4166.193252,4226.16965,1,1,0,1,1,2,0,0,1,2,8.125508582,8.134728533,9,2.302585093,10.43731363,3633.007085,10042.73526,0,,,,,,,,53.70067546,-113.3200847,,,,,,,,,,,,,,,,,,,,,,,,,3379.58629,100,2
Arterial-Class A (Primary Highway Truck Route),50 ST [NB-S] NW,N,2,1,0,0,0,0,306.316,Mid6,NBD,20047,19524,19001,18478,17955,18340,17499,18428,17000,15572,3,0,2,0,0,2,1,0,0,1,9.808319363,5.724617249,9,2.302585093,8.027202342,495.8984531,1374.247093,0,,,,,,,,53.58419564,-113.4181746,,,,,,,,,,,,,,,,,,,,,,,,,18184.4,60,2
Arterial-Class A (Primary Highway Truck Route),50 ST [NB-S] NW,N,2,1,0,0,0,0,662.185,Mid7,NBD,13848.48635,14111.86704,14375.24773,14469,14774.16667,15079.33333,15384.5,15622.5,15956.44866,16186.15723,5,4,4,4,3,3,4,3,3,2,9.614522704,6.495544973,35,2.302585093,8.798130066,409.384615,823.3942195,0,,,,,,,,53.59218302,-113.4160938,,,,,,,,,,,,,,,,,,,,,,,,,14980.7707,60,2
Arterial-Class A (Primary Highway Truck Route),50 ST [NB-S] NW,N,2,1,0,0,0,0,548.063,Mid10,NBD,14778.83333,14614.66667,14450.5,14286.33333,14122.16667,13958,15318,15205,15530.02412,15753.5939,3,4,1,2,0,3,1,1,0,1,9.602498115,6.306390244,16,2.302585093,8.608975337,477.2588023,793.9640521,0,,,,,,,,53.59945029,-113.4137684,,,,,,,,,,,,,,,,,,,,,,,,,14801.7118,60,2
Arterial-Class A (Primary Highway Truck Route),50 ST [SB-S] NW,S,2,1,0,0,0,0,307.845,Mid16,SBD,19287.6,19094.2,18900.8,18707.4,18514,19063,18162,18407,16712.5,15018,6,6,2,4,7,2,2,4,4,0,9.808443087,5.72959641,37,2.302585093,8.032181503,501.5854863,1372.609857,0,,,,,,,,53.58419689,-113.4184328,,,,,,,,,,,,,,,,,,,,,,,,,18186.65,60,2
Arterial-Class A (Primary Highway Truck Route),50 ST [SB-S] NW,S,2,1,0,0,0,0,665.152,Mid17,SBD,15040.09361,15326.13716,15612.18072,15714,16199.83333,16685.66667,17171.5,17159.5,17526.30378,17778.61194,3,3,1,1,0,6,3,2,3,1,9.706339589,6.500015586,23,2.302585093,8.802600679,414.2531392,817.3774681,0,,,,,,,,53.5921839,-113.4162735,,,,,,,,,,,,,,,,,,,,,,,,,16421.38272,60,2
Arterial-Class A (Primary Highway Truck Route),50 ST [SB-S] NW,S,2,1,0,0,0,0,546.269,Mid22,SBD,12766.5,12513,12259.5,12006,11752.5,11499,14084,12348,12611.95251,12793.51381,7,6,2,2,2,7,7,5,3,5,9.430551358,6.303111528,46,2.302585093,8.605696621,513.569058,772.3901568,0,,,,,,,,53.59990222,-113.414306,,,,,,,,,,,,,,,,,,,,,,,,,12463.39663,60,2
Arterial-Class A (Primary Highway Truck Route),97 ST [NB-S] NW,N,3,1,0,0,0,0,466.009,Mid27,NBD,20684.81929,21078.21839,21471.61749,21611.65075,22584.58718,23209.14559,23662,25797,23641.5,21486,4,5,1,4,6,0,5,1,0,2,10.02227692,6.144204947,28,2.302585093,8.44679004,343.1188917,509.1582618,0,,,,,,,,53.60465913,-113.4917119,,,,,,,,,,,,,,,,,,,,,,,,,22522.65387,50,2
Arterial-Class A (Primary Highway Truck Route),97 ST [NB-S] NW,N,3,1,0,0,0,0,339.066,Mid32,NBD,24002,23714.5,23427,21954,22671.5,23389,23771,24838,25368.94043,25734.15096,4,0,0,0,0,4,4,3,1,3,10.08109004,5.826194779,19,2.302585093,8.128779872,458.4957986,348.612903,0,,,,,,,,53.60106523,-113.491823,,,,,,,,,,,,,,,,,,,,,,,,,23887.00914,60,3
